snapshot_pct,snapshot_step,direction,bin,dataset_index,exposure_step,exposure_status,baseline_p0,baseline_p0_completion_length,prompt_token_count,delta_R,delta_T,delta_C
25,934,B-bin/A-base,"(.5,.75]",109,2397,unexposed,0.5,1525.0625,75.0,0.0625,0.25,-0.1875
25,934,A-bin/B-base,"(.5,.75]",110,3389,unexposed,0.4375,1443.3125,98.0,0.25,0.375,-0.125
25,934,B-bin/A-base,"(.25,.5]",110,3389,unexposed,0.5625,1244.375,98.0,0.125,0.3125,-0.0625
25,934,A-bin/B-base,"(.75,1)",111,3703,unexposed,0.625,1245.375,83.0,0.3125,0.3125,0.125
25,934,B-bin/A-base,"(.5,.75]",111,3703,unexposed,0.8125,1155.3125,83.0,0.125,0.125,0.125
25,934,A-bin/B-base,"(.25,.5]",112,3659,unexposed,0.625,1207.5,112.0,0.125,0.0625,0.0625
25,934,B-bin/A-base,"(.5,.75]",112,3659,unexposed,0.5,1331.9375,112.0,0.25,0.1875,0.1875
25,934,A-bin/B-base,"(.5,.75]",113,1977,unexposed,0.75,975.25,86.0,-0.25,-0.0625,-0.4375
25,934,B-bin/A-base,"(.5,.75]",113,1977,unexposed,0.5625,1274.3125,86.0,-0.0625,0.0625,-0.125
25,934,A-bin/B-base,"(.75,1)",114,712,exposed,0.8125,1154.875,61.0,0.1875,0.1875,0.0625
25,934,B-bin/A-base,"(.75,1)",114,712,exposed,0.8125,1039.3125,61.0,0.1875,0.125,0.0625
25,934,A-bin/B-base,"(.25,.5]",115,475,exposed,0.25,1790.6875,84.0,0.25,0.1875,0.1875
25,934,B-bin/A-base,"(0,.25]",115,475,exposed,0.5,1635.8125,84.0,0.0,-0.125,0.0
25,934,A-bin/B-base,0,116,395,exposed,0.0,2006.1875,132.0,0.0,0.5,-0.0625
