direction,bin,dataset_index,exposure_step,baseline_p0,baseline_p0_completion_length,prompt_token_count
B-bin/A-base,"(0,.25]",166,619,0.125,2016.0,123
A-bin/B-base,0,167,3511,0.0,1537.75,101
B-bin/A-base,0,167,3511,0.0,1496.9375,101
A-bin/B-base,"(.75,1)",168,172,0.875,1116.75,108
B-bin/A-base,"(.75,1)",168,172,0.8125,1108.625,108
A-bin/B-base,"(0,.25]",169,2014,0.0,1840.9375,73
B-bin/A-base,0,169,2014,0.125,1885.375,73
A-bin/B-base,"(.5,.75]",170,4,0.5625,1456.5,57
B-bin/A-base,"(.5,.75]",170,4,0.5625,1562.75,57
A-bin/B-base,0,171,3438,0.0625,1976.0625,77
B-bin/A-base,"(0,.25]",171,3438,0.0,2030.75,77
A-bin/B-base,"(.5,.75]",172,129,0.5625,1423.625,74
B-bin/A-base,"(.5,.75]",172,129,0.5625,1329.6875,74
A-bin/B-base,"(0,.25]",173,911,0.0,2048.0,93
B-bin/A-base,0,173,911,0.125,1948.1875,93
A-bin/B-base,"(.5,.75]",174,1321,0.5,1379.3125,78
B-bin/A-base,"(.25,.5]",174,1321,0.625,1264.125,78
A-bin/B-base,"(0,.25]",175,258,0.1875,2000.875,171
B-bin/A-base,"(0,.25]",175,258,0.0625,2029.6875,171
A-bin/B-base,1,176,1708,0.8125,1097.875,61
B-bin/A-base,"(.75,1)",176,1708,1.0,752.125,61
A-bin/B-base,"(.25,.5]",177,1555,0.3125,1706.5,98
B-bin/A-base,"(.25,.5]",177,1555,0.375,1477.375,98
A-bin/B-base,"(.25,.5]",178,3597,0.5,1719.25,125
B-bin/A-base,"(.25,.5]",178,3597,0.5,1457.5,125
A-bin/B-base,"(.25,.5]",179,1570,0.5625,1309.0,94
B-bin/A-base,"(.5,.75]",179,1570,0.3125,1586.5,94
A-bin/B-base,"(.75,1)",180,254,0.75,1104.5625,80
B-bin/A-base,"(.5,.75]",180,254,0.875,937.25,80
A-bin/B-base,"(0,.25]",181,935,0.0625,1973.9375,89
B-bin/A-base,"(0,.25]",181,935,0.125,1865.4375,89
A-bin/B-base,"(0,.25]",182,708,0.0625,1799.75,107
B-bin/A-base,"(0,.25]",182,708,0.25,1517.25,107
A-bin/B-base,"(0,.25]",183,3495,0.0625,1904.875,106
B-bin/A-base,"(0,.25]",183,3495,0.0625,1859.0,106
A-bin/B-base,0,184,496,0.125,1623.125,119
B-bin/A-base,"(0,.25]",184,496,0.0,1981.5625,119
A-bin/B-base,"(.75,1)",185,1472,0.875,1054.4375,75
B-bin/A-base,"(.75,1)",185,1472,0.8125,1029.125,75
A-bin/B-base,"(.5,.75]",186,1175,0.625,1354.0,77
B-bin/A-base,"(.5,.75]",186,1175,0.625,1354.9375,77
A-bin/B-base,"(0,.25]",187,3231,0.0,1958.3125,105
B-bin/A-base,0,187,3231,0.0625,1997.9375,105
A-bin/B-base,"(.75,1)",188,1286,0.9375,778.3125,70
B-bin/A-base,"(.75,1)",188,1286,0.875,905.625,70
A-bin/B-base,"(0,.25]",189,668,0.1875,1783.75,83
B-bin/A-base,"(0,.25]",189,668,0.25,1745.625,83
A-bin/B-base,"(0,.25]",190,250,0.0,1938.375,68
B-bin/A-base,0,190,250,0.125,1619.0625,68
A-bin/B-base,0,191,2307,0.0,1931.5,98
B-bin/A-base,0,191,2307,0.0,1903.4375,98
A-bin/B-base,"(0,.25]",192,1084,0.3125,1645.1875,100
B-bin/A-base,"(.25,.5]",192,1084,0.25,1871.625,100
A-bin/B-base,"(.25,.5]",193,876,0.1875,1734.3125,91
B-bin/A-base,"(0,.25]",193,876,0.5,1577.5625,91
A-bin/B-base,"(0,.25]",194,2585,0.25,1450.875,109
B-bin/A-base,"(0,.25]",194,2585,0.25,1501.875,109
A-bin/B-base,"(.5,.75]",195,2837,0.6875,1385.5625,81
B-bin/A-base,"(.5,.75]",195,2837,0.5625,1599.4375,81
A-bin/B-base,"(.25,.5]",196,858,0.625,1368.125,61
B-bin/A-base,"(.5,.75]",196,858,0.5,1406.625,61
A-bin/B-base,"(0,.25]",197,305,0.3125,1821.375,86
B-bin/A-base,"(.25,.5]",197,305,0.1875,1984.625,86
A-bin/B-base,"(0,.25]",198,1072,0.125,1956.0,93
B-bin/A-base,"(0,.25]",198,1072,0.1875,1862.6875,93
